E,1 1 1 ,3 3 3 ,1 0 1 0 ,2 2 2 2 ,0.97265625 0.96484375 0.5 0.4375 
A,2 2 2 ,1 2 1 ,1 1 1 1 ,1 1 1 1 ,0.0 0.6328125 0.0 0.64453125 
T,1 1 1 ,1 1 1 ,1 1 1 1 ,1 0 1 0 ,0.5 0.0 0.5 0.0 
N,3 3 3 ,1 1 1 ,2 1 1 2 ,1 0 0 1 ,0.94921875 0.625 0.5 0.89453125 
C,1 1 1 ,2 2 2 ,1 0 1 0 ,1 1 1 1 ,0.1953125 0.328125 0.49609375 0.48046875 
X,2 1 2 ,2 1 2 ,1 1 1 1 ,1 1 1 1 ,0.51171875 0.52734375 0.609375 0.625 
F,1 1 1 ,2 2 2 ,1 0 1 0 ,2 1 2 1 ,1.0 1.0 0.5 0.0 
J,1 1 1 ,0 1 0 ,0 1 0 1 ,0 0 0 0 ,0.0 0.0 0.0 0.0 
P,2 2 1 ,2 2 2 ,1 1 1 0 ,1 1 2 1 ,0.91015625 0.8125 0.61328125 0.0 
U,2 2 2 ,1 1 1 ,1 1 1 1 ,0 1 0 1 ,0.6875 0.55859375 0.5625 0.6015625 
S,1 1 1 ,3 3 3 ,1 0 0 1 ,2 1 1 2 ,0.5546875 0.50390625 0.421875 0.6796875 
H,2 1 2 ,1 1 1 ,1 1 1 1 ,1 1 1 1 ,0.6875 0.6875 0.5625 0.5625 
W,4 4 4 ,1 1 1 ,2 2 2 2 ,0 1 0 1 ,0.4296875 0.2421875 0.41796875 0.29296875 
V,2 2 2 ,1 1 1 ,1 1 1 1 ,1 1 1 1 ,0.6796875 0.0 0.65625 0.0 
O,2 2 2 ,2 2 2 ,1 1 1 1 ,1 1 1 1 ,0.328125 0.421875 0.43359375 0.42578125 
B,2 1 2 ,3 3 4 ,1 1 1 1 ,2 2 3 2 ,0.91015625 0.89453125 0.546875 0.65625 
R,2 1 2 ,2 2 2 ,1 1 1 1 ,2 1 1 1 ,0.84375 0.6875 0.1953125 0.58203125 
L,1 1 1 ,1 1 1 ,1 0 1 0 ,1 1 0 1 ,0.9375 0.96484375 0.0 0.4375 
I,1 1 1 ,0 1 0 ,1 1 1 1 ,0 0 0 0 ,0.0 0.0 0.0 0.0 
Q,2 2 1 ,2 2 3 ,1 1 1 1 ,1 1 1 2 ,0.38671875 0.00390625 0.37890625 0.3515625 
D,2 2 2 ,2 2 2 ,1 1 1 1 ,1 1 1 1 ,0.8125 0.7890625 0.3125 0.359375 
Y,2 2 1 ,1 1 1 ,1 1 1 1 ,1 0 1 0 ,0.63671875 0.0 0.6484375 0.0 
K,2 1 2 ,1 2 2 ,2 1 2 1 ,1 1 1 1 ,0.6875 0.6875 0.40625 0.4296875 
G,1 2 2 ,2 2 3 ,1 0 1 1 ,1 1 2 2 ,0.21875 0.36328125 0.49609375 0.6953125 
M,4 4 4 ,1 1 1 ,2 2 2 2 ,1 0 1 1 ,0.890625 0.5 0.76953125 0.4375 
