浵,4 2 4 ,4 2 4 ,2 2 2 2 ,1 2 1 2 ,0.24609375 0.40625 0.33203125 0.26953125 
娈,2 3 2 ,2 3 2 ,1 1 1 1 ,2 3 2 2 ,0.234375 0.2578125 0.25 0.234375 
諄,1 3 3 ,1 3 3 ,1 1 3 1 ,3 3 3 3 ,0.5078125 0.41015625 0.3125 0.1875 
埸,2 2 4 ,2 2 4 ,2 1 2 3 ,1 1 3 2 ,0.3125 0.31640625 0.51953125 0.4921875 
跏,6 6 6 ,6 6 6 ,3 4 3 3 ,2 1 0 0 ,0.359375 0.48828125 0.375 0.5390625 
横,3 6 2 ,3 6 2 ,1 2 2 1 ,2 0 3 3 ,0.46875 0.3125 0.5078125 0.484375 
渨,1 0 3 ,1 0 3 ,1 1 2 1 ,0 1 3 2 ,0.2734375 0.3203125 0.5234375 0.44140625 
爦,9 2 4 ,9 2 4 ,4 5 3 1 ,1 1 3 4 ,0.35546875 0.296875 0.47265625 0.55859375 
伃,3 3 2 ,3 3 2 ,2 2 1 1 ,1 0 3 1 ,0.25 0.3125 0.48828125 0.0 
铚,3 2 2 ,3 2 2 ,1 2 1 1 ,2 2 2 2 ,0.41796875 0.41015625 0.32421875 0.25 
箠,4 1 3 ,4 1 3 ,2 2 2 2 ,5 2 3 2 ,0.421875 0.3359375 0.34765625 0.38671875 
楋,4 8 6 ,4 8 6 ,1 3 2 4 ,2 1 1 1 ,0.3359375 0.25 0.296875 0.44140625 
嘕,4 3 6 ,4 3 6 ,3 1 3 4 ,1 1 4 4 ,0.59375 0.078125 0.41796875 0.58203125 
盕,4 4 4 ,4 4 4 ,2 2 2 2 ,2 2 1 3 ,0.2890625 0.44140625 0.21875 0.3984375 
須,2 3 2 ,2 3 2 ,2 1 2 1 ,2 1 3 2 ,0.22265625 0.3671875 0.359375 0.41796875 
爳,2 6 1 ,2 6 1 ,1 1 0 1 ,4 2 6 2 ,0.375 0.0 0.44921875 0.03125 
擆,2 2 2 ,2 2 2 ,1 1 2 1 ,2 1 3 4 ,0.3984375 0.4140625 0.45703125 0.5390625 
呌,4 4 3 ,4 4 3 ,2 2 2 1 ,1 1 0 1 ,0.39453125 0.16015625 0.3125 0.3125 
橞,2 4 5 ,2 4 5 ,2 1 3 3 ,2 0 4 3 ,0.35546875 0.3125 0.4140625 0.47265625 
躔,4 4 6 ,4 4 6 ,3 1 4 3 ,2 2 2 2 ,0.33203125 0.43359375 0.3359375 0.44140625 
楕,2 4 3 ,2 4 3 ,2 1 2 1 ,2 1 3 4 ,0.35546875 0.3125 0.40625 0.546875 
轡,7 7 1 ,7 7 1 ,4 4 1 1 ,3 3 3 3 ,0.4609375 0.34375 0.46484375 0.4921875 
桵,4 4 4 ,4 4 4 ,2 3 2 2 ,2 0 3 2 ,0.4453125 0.3828125 0.453125 0.41015625 
筨,4 3 1 ,4 3 1 ,3 2 1 1 ,4 3 3 3 ,0.390625 0.4140625 0.40625 0.43359375 
秴,3 1 4 ,3 1 4 ,2 2 3 1 ,3 1 2 2 ,0.4375 0.34765625 0.17578125 0.42578125 
厞,3 3 3 ,3 3 3 ,2 2 2 2 ,2 2 2 2 ,0.390625 0.38671875 0.375 0.3125 
藭,1 3 2 ,1 3 2 ,1 1 1 1 ,4 5 4 3 ,0.34375 0.41015625 0.375 0.4609375 
嘷,3 3 4 ,3 3 4 ,3 1 2 2 ,1 1 4 4 ,0.4453125 0.30859375 0.37109375 0.37890625 
鉩,4 4 6 ,4 4 6 ,2 2 4 2 ,3 2 2 0 ,0.328125 0.5390625 0.18359375 0.1015625 
奆,2 2 2 ,2 2 2 ,1 1 1 1 ,2 3 2 3 ,0.21875 0.40234375 0.234375 0.33203125 
笳,4 4 4 ,4 4 4 ,2 2 2 2 ,3 1 3 1 ,0.3359375 0.41015625 0.3515625 0.44921875 
壃,4 2 2 ,4 2 2 ,2 2 2 1 ,1 1 5 5 ,0.375 0.3203125 0.46875 0.546875 
栋,2 4 4 ,2 4 4 ,2 1 2 2 ,2 0 2 1 ,0.4296875 0.375 0.3125 0.2265625 
鬓,2 1 2 ,2 1 2 ,1 1 1 1 ,6 5 4 5 ,0.4765625 0.5078125 0.32421875 0.421875 
蝼,4 5 4 ,4 5 4 ,4 1 3 2 ,1 2 1 2 ,0.39453125 0.390625 0.203125 0.40625 
墹,5 4 5 ,5 4 5 ,2 3 2 3 ,1 1 2 3 ,0.3125 0.23828125 0.671875 0.58203125 
烋,2 4 4 ,2 4 4 ,2 1 2 2 ,1 1 2 0 ,0.27734375 0.34375 0.17578125 0.3515625 
魨,3 4 4 ,3 4 4 ,2 1 2 2 ,2 2 1 1 ,0.421875 0.41015625 0.296875 0.44921875 
奛,2 4 3 ,2 4 3 ,1 1 2 1 ,3 2 3 3 ,0.26953125 0.3203125 0.2890625 0.4375 
桷,3 3 4 ,3 3 4 ,2 1 2 2 ,2 0 2 1 ,0.3984375 0.3125 0.2734375 0.4453125 
温,1 0 5 ,1 0 5 ,1 1 3 3 ,1 1 3 2 ,0.3203125 0.40625 0.453125 0.5078125 
捲,2 3 3 ,2 3 3 ,2 1 2 2 ,2 1 2 3 ,0.44140625 0.4375 0.3046875 0.390625 
翐,5 3 4 ,5 3 4 ,4 1 2 2 ,1 1 1 1 ,0.43359375 0.41796875 0.2265625 0.328125 
拆,2 3 3 ,2 3 3 ,2 0 2 1 ,2 1 2 1 ,0.43359375 0.4453125 0.296875 0.37109375 
锱,4 2 4 ,4 2 4 ,2 2 2 2 ,2 2 3 3 ,0.46875 0.359375 0.34765625 0.47265625 
嶹,3 4 5 ,3 4 5 ,3 0 4 2 ,0 1 4 3 ,0.265625 0.328125 0.4140625 0.62890625 
尜,3 2 3 ,3 2 3 ,2 2 2 2 ,2 2 2 2 ,0.16796875 0.2890625 0.27734375 0.328125 
轵,3 2 3 ,3 2 3 ,2 2 1 2 ,2 1 2 2 ,0.53515625 0.3125 0.36328125 0.375 
袚,2 4 3 ,2 4 3 ,2 1 2 1 ,3 1 3 1 ,0.3828125 0.3125 0.37109375 0.3828125 
涽,1 2 2 ,1 2 2 ,1 1 2 1 ,1 0 3 3 ,0.26953125 0.37109375 0.375 0.59375 
禱,1 2 3 ,1 2 3 ,1 0 2 2 ,2 1 4 5 ,0.359375 0.375 0.3515625 0.484375 
聺,6 5 3 ,6 5 3 ,4 3 2 1 ,1 1 2 2 ,0.38671875 0.37890625 0.3203125 0.2421875 
匛,2 3 3 ,2 3 3 ,2 1 2 1 ,2 3 2 2 ,0.5703125 0.6171875 0.34375 0.44921875 
襟,3 2 2 ,3 2 2 ,2 2 1 1 ,1 1 1 2 ,0.390625 0.375 0.5 0.25 
